Articulo,Factura,Nro,Fecha,SubTotal,Total,Estado,id_producto,Cantidad,PrecioUnitario,Precio,Comentario,Contacto,Cuenta,Edad,Usuario
"Ebroderm Sport","Cliente 1 - Venta Mensual",SO1,"2013-08-02 11:01:57",3500.000,4270.000,Created,209,2.000,1000.000,2000.000000,,,"Cliente 1",25," Administrator"
"Ebroderm Piel Normal","Cliente 1 - Venta Mensual",SO1,"2013-08-02 11:01:57",3500.000,4270.000,Created,210,1.000,1500.000,1500.000000,,,"Cliente 1",25," Administrator"
"Terfiren crema - 10g","Pedido de Cliente 2",SO69,"2012-08-08 15:43:13",220.000,268.400,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 2",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 11",SO70,"2013-03-24 10:40:01",540.000,658.800,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 11",32,"uno Visitador"
Contractubex,"Pedido de Cliente 11",SO70,"2013-03-24 10:40:01",540.000,658.800,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 11",32,"uno Visitador"
Viru-Merz,"Pedido de Cliente 11",SO70,"2013-03-24 10:40:01",540.000,658.800,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 11",32,"uno Visitador"
"Terfiren crema - 10g","Pedido de Cliente 7",SO71,"2012-12-20 16:43:36",1117.000,1362.740,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 7",55,"3 Visitador tres"
"Eu-tTG IgA Humana","Pedido de Cliente 7",SO71,"2012-12-20 16:43:36",1117.000,1362.740,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 7",55,"3 Visitador tres"
Alufren,"Pedido de Cliente 2",SO74,"2012-12-29 14:47:35",1180.000,1439.600,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 2",2,"Dos Visitador Dos"
"Ebro Bebé","Pedido de Cliente 2",SO74,"2012-12-29 14:47:35",1180.000,1439.600,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 2",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 19",SO75,"2013-04-08 21:19:21",1414.000,1725.080,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 19",2,"Dos Visitador Dos"
"Ad Muc","Pedido de Cliente 19",SO75,"2013-04-08 21:19:21",1414.000,1725.080,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 19",2,"Dos Visitador Dos"
"Ebro Bebé","Pedido de Cliente 18",SO76,"2012-09-30 14:44:41",1360.000,1659.200,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 18",32,"uno Visitador"
Pantogar,"Pedido de Cliente 18",SO76,"2012-09-30 14:44:41",1360.000,1659.200,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 18",32,"uno Visitador"
Alufren,"Pedido de Cliente 18",SO76,"2012-09-30 14:44:41",1360.000,1659.200,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 18",32,"uno Visitador"
"Eu-tTG IgA Humana","Pedido de Cliente 4",SO77,"2013-02-21 17:21:34",2794.000,3408.680,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 4",2,"Dos Visitador Dos"
"Hepa-Merz Granulado","Pedido de Cliente 4",SO77,"2013-02-21 17:21:34",2794.000,3408.680,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 4",2,"Dos Visitador Dos"
"Eu-tTG IgA Humana","Pedido de Cliente 4",SO77,"2013-02-21 17:21:34",2794.000,3408.680,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 4",2,"Dos Visitador Dos"
